Asimov	eric1_z	1	0.4019
Chaos_Theory	HeroOfCanton	1	0.6705
toodles	Insertnamehere	3	0.2264
VeryYes	Hupen	1	0.0
montrealmri	gabriel_swee_7	1	0.128
NULL	Aris	3	0.463233333333
HeroOfCanton	EmillyOwen	1	0.1154
insomnia	HeroOfCanton	3	0.106933333333
Hound	Aris	1	0.1139
LJ6782	captainfez	1	0.2144
lawduck	gabriel_swee_7	1	0.4019
jansegers	Insertnamehere	1	0.7579
gabriel_swee_7	Rehem	1	0.5719
LiberalGuy	lucitribal	2	0.37925
HeroOfCanton	Chaos_Theory	1	0.6249
transcendence	Fantonald	2	-0.12325
gabriel_swee_7	Elathen	1	0.0
CoffeErickaix	Stardust	2	0.4914
formati	formati	1	0.4019
DankMemer	Aris	1	0.0
Katantunoro	jackripper	1	0.6793
MikahMancer	Aris	3	0.6132
Katantunoro	Ludiko	1	0.6588
KevinUxbridge	LiberalGuy	5	0.09388
Newguyondeck	Fantonald	1	0.3612
mumrahte	LiberalGuy	1	-0.6249
lucitribal	LJ6782	1	0.8555
Cawendaw	teamvista	1	0.0
Musekyto	LiberalGuy	2	-0.03925
mandivether	lucitribal	1	0.5106
goej	HeroOfCanton	2	-0.2084
troctzul	Aris	1	0.503
archit13	LiberalGuy	1	0.5859
Empoopled	LiberalGuy	4	0.27415
MikahMancer	HeroOfCanton	2	0.2813
Katantunoro	Aris	6	0.443366666667
HeroOfCanton	LiberalGuy	1	0.4588
learn2art	DeusExMachina	1	0.6588
Asimov	Citrogenen	1	0.9824
FairEnough	jackripper	1	0.8271
VeryYes	Stardust	1	0.6124
Citrogenen	HeroOfCanton	5	0.43826
Dino	Stardust	1	0.4376
bementar	FairEnough	2	-0.1122
toodles	Crossposted	1	0.7568
FairEnough	HeroOfCanton	3	0.603566666667
thatcoolmartian	gabriel_swee_7	2	0.1175
jogi	Aris	1	0.0
Cedara	EmberBreeze	1	-0.4404
MikeIsBored	MikeIsBored	1	-0.402
TerreNemo	gabriel_swee_7	2	0.20145
LiberalGuy	jansegers	1	0.4019
Musekyto	simkel	1	0.91
TheNuclearNewt	Aris	2	0.3243
neuroyoutube	Chaos_Theory	1	0.2732
Eskandar	Chaos_Theory	2	0.03185
transcendence	gabriel_swee_7	1	0.25
LJ6782	Empeopler	1	0.0
futabutt	lucitribal	1	0.0
zBeer	Aris	2	0.66055
Citrogenen	Kr1ll1n	1	0.0
Sightseer	gabriel_swee_7	20	-0.01741
lawduck	Fantonald	1	0.7845
duncan006	Eskandar	1	0.7964
Googolplexbyte	HeroOfCanton	1	0.0
xan	Insertnamehere	1	0.6243
Aris	Rare	1	0.0772
stickman	Aris	1	0.4404
FairEnough	DarkKirby14	2	0.35945
VeryYes	Claire	1	-0.836
Claire	HeroOfCanton	1	-0.4274
DeusExMachina	patrickguilhemm	1	0.0
Aris	captainfez	1	0.0
Southchirep	Stardust	1	0.0
Insertnamehere	Aris	9	0.418555555556
